Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Коваленко,Гордій,Андрійович,Чоловік,1958-07-19,Провізор,хутір Макіївка,"набережна Академічний, буд. 93 кв. 58, Рубіжне, 93928",016 310-56-98,havrysholha@example.com
Щорс,Михайло,Олексійович,Чоловік,1947-06-25,Шериф,селище Лебедин,"сквер Шостої 1-й, буд. 117 кв. 7, Українка, 90267",+380 (17) 720-38-23,cromanenko@example.com
Стус,Спас,Богданович,Чоловік,1995-08-06,Дантист,місто Помічна,"узвіз Героїв оборони Одеси, буд. 0, Заставна, 81299",+380 76 122 78 29,kalchenkodanna@example.com
Рябченко,Охрім,Романович,Чоловік,2003-01-07,Ді-джей,село Лебедин,"проспект Дружний, буд. 275, Радивилів, 96386",051 048 02 16,leopold77@example.com
Романець,Ілля,Петрович,Чоловік,1979-10-01,Дантист,селище Кам'янка-Бузька,"площа Петра Лещенка, буд. 7 кв. 6, Ужгород, 16373",026 934 93 72,prokhirtkachenko@example.com
Лукаш,Михайло,Степанович,Чоловік,2008-08-23,Філолог,селище Лубни,"проспект Ігоря Балмагії, буд. 259 кв. 6, Енергодар, 45531",+380 (48) 956-45-37,dbarabash@example.com
Ґалаґан,Дан,Степанович,Чоловік,1995-04-23,Паблік рилейшнз,селище Ніжин,"узвіз Заводська 2-га, буд. 403, Радехів, 16657",018 272 98 70,boryszhalilo@example.net
Шовкопляс,Богодар,Богданович,Чоловік,1949-06-12,Архітектор,село Чуднів,"набережна Лазурний 6-й, буд. 10 кв. 76, Жмеринка, 28923",+380 (40) 212-54-34,zharkohordii@example.org
Бандера,Азар,Романович,Чоловік,1978-10-07,Маркетолог,селище Вугледар,"сквер Яші Гордієнка, буд. 323, Остер, 21919",+380 22 854-56-05,iakovenkosnizhana@example.com
Масоха,Венедикт,Юрійович,Чоловік,1958-11-14,Перекладач,село Городенка,"вулиця Севастопольський, буд. 69 кв. 303, Вашківці, 39920",+380 35 635-76-96,adurdynets@example.net
Василечко,Вадим,Петрович,Чоловік,1978-12-23,Хореограф,хутір Корець,"парк Миколи Троїцького, буд. 93, Буча, 97309",698 46 07,esirchenko@example.org
Притула,Орхип,Степанович,Чоловік,1979-02-25,Філолог,хутір Іловайськ,"сквер Матеріальний 1-й, буд. 67 кв. 063, Вознесенськ, 04625",492-61-76,tdubyna@example.net
Юрченко,Валерій,Євгенович,Чоловік,1988-05-28,Різноробочий,хутір Щолкіне,"парк Сміливий, буд. 45 кв. 1, Генічеськ, 10602",553-20-19,nehodaiefrem@example.org
Єфименко,Роман,Олександрович,Чоловік,1942-03-24,Правник,селище Тростянець,"набережна 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 998 кв. 643, Мелітополь, 58301",774 61 59,volodymyrvlokh@example.net
Архимович,Спас,Володимирович,Чоловік,1983-03-03,Ботанік,місто Сіверськодонецьк,"шосе Незалежності, буд. 68 кв. 7, Белз, 05817",024 510-69-61,symonenkoarsen@example.com
Гаврюшенко,Болеслав,Павлович,Чоловік,1952-11-18,Патологоанатом,село Нове Давидково,"провулок Пересипська 9-та, буд. 275 кв. 50, Вуглегірськ, 94573",+380 25 643-89-18,parmen06@example.com
Тимчук,Остап,Олексійович,Чоловік,1961-09-08,Няня,село Мелітополь,"вулиця Побратимів, буд. 414 кв. 4, Білозерське, 08317",082 383-43-77,idzyndra@example.com
Чумак,Дмитро,Володимирович,Чоловік,1956-12-26,Пілот,село Житомир,"площа Пшенична, буд. 58, Токмак, 62426",078 835-73-55,iatroshchenko@example.net
Деревʼянко,Валерій,Дмитрович,Чоловік,1997-11-17,Каскадер,хутір Зимогір'я,"шосе Пересипська 9-та, буд. 67 кв. 2, Сновськ, 77946",+380 63 712-57-05,romanetserika@example.org
Чуприна,Прохір,Володимирович,Чоловік,1972-11-09,Кінолог,місто Хмельницький,"набережна Полуничний, буд. 50 кв. 429, Сміла, 70399",+380 (22) 185-15-29,zbatiuk@example.org
Радченко,Антон,Тимофійович,Чоловік,1939-12-13,Композитор,селище Вишневе,"сквер Чорноморка, буд. 877, Татарбунари, 62304",+380 16 510-94-25,darynazabarnyi@example.org
Єсипенко,Григорій,Максимович,Чоловік,1963-10-24,Скульптор,селище Чуднів,"проспект Восьмого березня 6-й, буд. 63, Покровськ, 75678",+380 18 001-82-61,ysyrotenko@example.com
